Sigla	Nome	Estrato
IWANN	International Work-Conference on Artificial and Natural Neural Networks	B2
IWCC	IEEE International Workshop on Cluster Computing	B4
IWCIA	International Workshop on Combinatorial Image Analysis	B4
IWCMC	ACM International Wireless Communications and Mobile Computing Conference	B1
IWCS	International Workshop on Computational Semantics	B3
IWFHR	International Workshop on Frontiers in Handwriting Recognition	B1
IWLS	International Workshop on Logic and Synthesis	B2
IWOS	International Workshop on Self-Organizing Systems	B4
IWPSE	International Workshop on Principles of Software Evolution	B1
IWPT	International Conference on Parsing Technologies	B3
IWQoS	International Workshop on Quality of Service	A2
IWSCA	IEEE International Workshop on Semantic Computing and Applications	B4
IWSM-MENSURA	International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement	B4
IWSSIP	International Workshop on Systems Signals and Image Processing	B4
JADT	International conference on statistical analysis of textual data	B4
JCDL	ACM IEEE Joint Conference on Digital Libraries	A2
JCIS	Joint Conference on Information Sciences	B2
JDP	Jornada de Descrição do Português	B5
JELIA	European Conference on Logics in Artificial Inteligence	B1
JIISIC	Jornadas Iberoamericanas de Ingeniería de Software e Ingeniería del Conocimiento	B4
JMLC	Joint Modular Languages Conference	B3
JSSPP	Workshop on Job Scheduling Strategies for Parallel Processing	B1
JTRES	International Workshop on Java Technologies for Real-time and Embedded Systems	B3
JURIX	International Conference on Legal Knowledge and Information Systems	B3
K-CAP	Knowledge Capture	B1
KAMC	Knowledge Acquisition from Multimedia Content	B5
KDD	ACM SIGKDD Conference on Knowledge Discovery and Data Mining	A1
KES	International Conference on Knowledge-Based and Inteligent Information and Engineering Systems	B1
KES-AMSTA	International Conference on Agent and Multi-Agent Systems: Technologies and Applications	B3
KR	International Conference on Principles of Knowledge Representation and Reasoning	A2
KSEM	International Conference on Knowledge Science, Engineering and Management	B3
LA-WASP	Latin American Workshop on Aspect-Oriented Software Development	B4
LA-WEB	Latin American Web Congress	B2
LACLO	Latin American Conference on Learning Objects	B5
LADC	Latin-American Symposium on Dependable Computing	B3
LAGOS	Latin-American Algorithms Graphs and Optimization Symposium	B4
LANC	Latin America Networking Conference	B4
LANMAN	IEEE Workshop on Local and Metropolitan Area Networks	B2
LANOMS	Latin American Network Operations and Management Symposium	B4
LARS	IEEE Latin American Robotics Symposium	B4
LASCAS	IEEE Latin American Symposium on Circuits and Systems - LASCAS	B5
LATA	Language and Automata Theory and Applications	B3
LaTeCH	Workshop on Language Technology for Cultural Heritage, Social Sciences, and Humanities	B5
LATIN	Latin American Symposium on Theoretical Informatics	B1
LATINCOM	IEEE Latin-american Conference on Communications	B4
Latincrypt	International Conference on Cryptology and Information Security in Latin	B4
LATINTCS	Latin American Theoretical Informatics Symposium	B1
LATW	IEEE Latin American Test Workshop	B4
LAW	The Linguistic Annotation Workshop	B3
LCN	IEEE Conference on Local Computer Networks	A2
LCPC	International Workshop on Languages and Compilers for Parallel Computing	B4
LCTES	ACM SIGPLAN/SIGBED Conference on Languages, Compilers, Tools and Theory for Embedded Systems	B1
LDTA	Language Descriptions Tools and Applications	B4
LFCS	Symposium on Logical Foundations of Computer Science	B3
LICS	IEEE Symposium on Logic in Computer Science	A2
LIGHTSEC	Workshop on Lightweight Security and Privacy: Devices, Protocols, and Applications	B5
LINZ	Linz Seminar on Fuzzy Set Theory	B4
LION	Learning and Inteligent Optimization	B4
LoCA	International Symposium on Location- and Context-Awareness	B2
LocWeb	International Workshop on Location and the Web	B4
LOPSTR	International Symposium on Logic-based Program Synthesis and Transformation	B3
LPAR	Logic Programming and Automated Reasoning	B1
LPNMR	International Conference on Logic Programming and Non-monotonic Reasoning	B1
LREC	International Conference on Language Resources and Evaluation	A2
LSFA	Workshop on Logical and Semantic Frameworks, with Applications	B4
m-ICTE	International Conference on Multimedia and ICT in Education	B5
M4M	Methods for Modalities	B4
MABS	International Workshop on Multi-Agent-Based Simulation	B3
MASCOTS	IEEE International Symposium on Modeling Analysis and Simulation of Computer and Telecommunication Systems	A2
MASS	IEEE International Conference on Mobile Ad-hoc and Sensor Systems	B1
MATA	International Workshop on Mobility Aware Technologies and Applications	B2
MATES	German Conference on Multiagent System Technologies	B2
Matheuristics	International Workshop on Model-based metaheuristics	B4
MCCSIS	IADIS International Conference Web Based Communities and Social Media	B5
MCM	International Conference on Mathematics and Computation in Music	B4
MCO	International Conference on Modeling, Computation and Optimization in Information Systems and Management Sciences	B4
MCS	International Workshop on Multiple Classifier Systems	B1
MDA/MDM	International Conference on Mobile Data Access/Management	A2
MDAI	Modeling Decisions for Artificial Inteligence	B3
MDM	IEEE International Conference on Mobile Data Management	A2
Med-Hoc-Net	IEEE IFIP Annual Mediterranean Ad Hoc Networking Workshop	B4
MEDINFO	International Health Medical) Informatics Congress	B1
MESH	International Conference on Advances in Mesh Networks	B4
META	International Conference on Metaheuristics and Nature Inspired Computing	B5
METMBS	International Conference on Mathematics and Engineering Techniques in Medicine and Biological Sciences	B4
MEWS	International Workshop on Mining for Enhanced Web Search	B5
MFCS	International Symposium on Mathematical Foundations of Computer Science	B1
MFI	IEEE International Conference on Multisensor Fusion and Integration for Inteligent Systems	B2
MFPS	Mathematical Foundations of Programming Semantics	B4
MGC	International Workshop on Middleware for Grid Computing	B3
MIC	Metaheuristic International Conference	B3
MICAI	Mexican International Conference on Artificial Inteligence	B2
MICCAI	International Conference on Medical Image Computing and Computer Assisted Intervention	A1
MICRO	International Symposium on Microarchitecture	A1
Middleware	ACM/IFIP/USENIX International Middleware Conference	A2
MINES	International Conference on Multimedia Information Networking and Security	B4
MIS	Workshop on Multimedia Information Systems	B4
MISTA	Multidisciplinary International Scheduling Conference: Theory and Applications	B5
MKM	Mathematical Knowledge Management	B2
ML	IADIS International Conference on Mobile Learning	B3
MLDM	IAPR International Conference on Machine Learning and Data Mining	B2
MLMTA	International Conference on Machine Learning and Applications	B4
MLSP	IEEE International Workshop on Machine Learning for Signal Processing	B2
MMAR	IEEE IFAC International Conference on Methods and Models in Automation and Robotics	B4
MMBIA	IEEE Computer Society Workshops on Mathematical Methods in Biomedical Image Analysis	B2
MMCN	ACM/SPIE Multimedia Computing and Networking	B3
MMEDIA	International Conference on Advances in Multimedia	B4
MMM	International Multi-Media Modeling Conference	B1
MMNS	IFIP/IEEE Conference on Management of Multimedia Networks and Services	B3
MMSP	International Workshop on Multimedia Signal Processing	B2
MMSys	ACM SIGMM Conference on Multimedia Systems	B3
MMVR	Annual Medicine Meets Virtual Reality Conference	B4
MobiCASE	Mobile Computing, Applications, and Services	B4
MOBICOM	ACM International Conference on Mobile Computing and Networking	A1
MobiDE	Workshop on Data Engineering for Wireless and Mobile Access	B2
MOBIHOC	ACM Symposium of Mobile and Ad-hoc Computing	A1
MobileHCI	International Conference on Human-Computer Interaction with Mobile Devices and Services	A2
MOBILITY	Mobility Conference	B3
MOBIMEDIA	International Conference on Mobile Multimedia Communications	B4
Mobiquitous	International Conference on Mobile and Ubiquitous Systems: Networks and Services	B1
MobiSys	International Conference on Mobile Systems, Applications, and Services	A1
MobiWac	ACM International Workshop on Mobility Management and Wireless Access	B3
MODELS	ACM/IEEE International Conference on Model-Driven Engineering Languages and Systems	A2
MoDISE-EUS	Model Driven Information Systems Engineering: Enterprise, User and System Models	B5
MODSIM	International Congress on Modeling and Simulation	B3
MOMPES	IEEE International Workshop on Model Based Methodologies for Pervasive and Embedded Software	B4
MoodleMoot	MoodleMoot Brasil	B5
MOPTA	Annual Conference on Modeling and Optimization: Theory and Applications	B5
MPAC	International Workshop on Middleware for Pervasive and Ad-hoc Computing	B3
MPC	International Conference on Mathematics of Program Construction	B1
MPOOL	Workshop on Multiparadigm Programming with Object Oriented Languages	B5
MS	Multimedia Semantics	B4
MSA	International Conference on Multimedia Systems and Applications	B5
MSC	IEEE Multi-conference on Systems and Control	B5
MSE	International Conference on Microelectronic Systems Education	B4
MSN	International Conference on Mobile Ad-hoc and Sensor Networks	B3
MSR	International Workshop on Mining Software Repositories	B1
MSV	International Conference on Modeling: Simulation and Visualization Methods	B4
MSVVEIS	International Workshop on Modeling, Simulation, Verification and Validation of Enterprise Information Systems	B4
MSWIM	ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems	B1
MTAGS	Workshop on Many-Task Computing on Grids and Supercomputers 	B4
MTSR	International Conference on Metadata and Semantics Research	B4
MTSummit	Machine Translation Summit	B2
MTV	Microprocessor Test and Verification	B3
Multimedia	ACM Multimedia Conference	A1
MULTIPROG	Workshop on Programmability Issues for Multi-Core Computers	B5
MUM	International Conference on Mobile and Ubiquitous Multimedia	B2
MVA	IAPR International Workshop on Machine Vision Applications	B3
MWC	IEEE CAS Symposium on Emerging Technologies: Frontiers of Mobile and Wireless Communication	B3
MWE	Workshop on Multiword Expressions	B3
MWSCAS	IEEE International Midwest Symposium on Circuits and Systems	B1
NAACL	North American Chapter of the Association for Computational Linguistics Annual Meeting	A1
NAFIPS	North American Fuzzy Information Processing Society International Conference	B2
NANO	IEEE Conference on Nanotechnology	B4
Nanoarch	IEEE/ACM International Symposium on Nanoscale Architectures	B4
NAS	Networking, Architecture, and Storage	B4
NCA	IEEE International Symposium on Network Computing and Applications	B1
NCIS	International Conference on Network Computing and Information Security	B5
NDSS	Usenix Networked and Distributed System Security Symposium	A1
Net-Con	IFIP International Conference on Network Control and Engineering for QoS: Security and Mobility	B4
NETCOM	International Conference on Networks & Communications	B4
NetGames	Workshop on Network and System Support for Games	B1
Networking	IFIP International Conference on Networking	B1
NEW2AN	Next Generation Teletraffic and Wired/Wireless Advanced Networking	B3
NEWCAS	IEEE North-East Workshop on Circuits and Systems	B4
NFM	NASA Formal Methods	B4
NGITS	International Conference on Next Generation Information Technologies and Systems	B4
NIDISC	Workshop on Nature Inspired Distributed Computing	B5
NIME	New Interfaces for Music Expression	B1
NIPS	Neural Information Processing Systems	A1
NLDB	International Conference on Applications of Natural Language to Data Bases	B1
NLP-KE	International Conference on Natural Language Processing and Knowledge Engineering	B4
NLPCS	International Workshop on Natural Language Processing and Cognitive Science	B4
NMR	International Workshop on Non-Monotonic Reasoning	B2
NOCARC	International Workshop on Network on Chip Architectures	B4
NOCS	International Symposium on Networks-on-Chip	B1
NOMS	IEEE/IFIP Network Operations and Management Symposium	A2
NORCHIP	The Nordic Microelectronics event	B3
NordiCHI	Nordic Conference on Human-computer interaction	B1
NOSSDAV	Network and Operating System Support for Digital A/V	A2
NPAR	Non-Photorealistic Animation and Rendering	A2
NPC	IFIP International Conference on Network and Parallel Computing	B3
NSDI	Symposium on Networked Systems: Design and Implementation	A1
NTMS	New Technologies, Mobility and Security	B4
NWeSP	International Conference on Next Generation Web Services Practices	B3
NyirCrypt	Central European Conference on Cryptography	B5
OASICS	OpenAcess Series in Informatics	B5
OASIS	Foundations of Intrusion Tolerant Systems	B5
OBI	Ontology-supported Business Inteligence	B4
ODBASE	International Conference on Ontologies Databases and Applications of Semantics	B3
ODBIS	Ontologies-Based Databases and Information Systems	B4
ODP	IFIP International Conference on Open Distributed Processing	B3
OKCon	Open Knowledge Conference	B5
OL	Ontology Learning	B4
OM	Ontology Matching	B1
ONISW	Ontologies and Information Systems for the Semantic Web	B4
ONTOSE	Ontology, Conceptualization and Epistemology for Information Systems, Software Engineering and Service Science	B5
OOIS	International Conference on Object-Oriented Information Systems	B2
OOPSLA	ACM SIGPLAN International Conference on Object-Oriented Programming, Systems, Languages, and Applications	A1
OPODIS	International Conference on Principles of Distributed Systems	B2
OPTIM	Optimization of Electrical and Electronic Equipment	B4
OptMAS	Workshop on Optimisation in Multi-Agent Systems	B5
OR	International Conference on Operations Research	B4
OSDI	Usenix Symposium on Operating Systems Design and Implementation	A1
OSS	International Conference on Open Source Systems	B2
OWLED	OWLED Workshop on OWL: Experiences and Directions	B1
OZCHI	Australasian Computer-Human Interaction Conference	B1
P2P	International Conference on Peer-to-Peer Computing	A2
PAAMS	International Conference on Practical Applications of Agents and Multiagent Systems	B4
PAAP	International Symposium on Parallel Architectures, Algorithms and Programming	B5
PACCS	Pacific-Asia Conference on Circuits, Communications and Systems	B4
PACIFICVIS	IEEE Pacific Visualization Symposium	B3
PACT	International Conference on Parallel Architectures and Compilation Techniques	A2
PADL	International Symposium on Practical Aspects of Declarative Languages	B1
PADO	Symposium on Programs as Data Objects	B4
PADS	ACM/IEEE/SCS Workshop on Parallel and Distributed Simulation	B1
PADTAD	Workshop on Parallel and Distributed Systems: Testing, Analysis, and Debugging	B3
PAKM	International Conference on Practical Aspects of Knowledge Management	B2
PAM	Passive and Active Measurement Conference	A2
ParCo	International Conference on Parallel Computing	B3
PATAT	International Conference on the Practice and Theory of Automated Timetabling	B3
PATMOS	International Workshop on Power and Timing Modeling: Optimization and Simulation	B2
PBG	IEEE/Eurographics Symposium on Point-Based Graphics	B2
PCNS	SPIE Conference on Performance and Control of Network Systems	B5
PCS	International Picture Coding Symposium	B1
PDC	Participatory Design Conference	B1
PDCAT	International Conference on Parallel and Distributed Computing Applications and Technologies	B2
PDCS	International Conference on Parallel and Distributed Computing and Systems	B3
PDMC-HIBI	International Workshop on Parallel and Distributed Methods in Verification, International Workshop on High Performance Computational Systems	B4
PDP	Euromicro International Conference on Parallel Distributed and network-based Processing	B1
PDPTA	International Conference on Parallel and Distributed Processing Techniques and Applications	B2
PE-WASUN	ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks	B2
PEPM	Symposium on Partial Evaluation and Program Manipulation	B1
PERCOL	Workshop on Pervasive Colaboration and Social Networking	B1
PerCom	Annual IEEE International Conference on Pervasive Computing and Communications	A2
PEREL	Workshop on Pervasive Learning, Life, and Leisure	B1
PERFOMANCE	IFIP International Symposium on Computer Performance Modeling Measurements and Evaluation	B4
PERVASIVE	International Conference on Pervasive Computing	A2
PETRA	International Conference on Pervasive Technologies Related to Assistive Environments	B3
PG	Pacific Conference on Computer Graphics and Applications	A2
PhiSE	Philosophical Foundations on Information Systems Engineering	B5
PIMRC	IEEE International Symposium on Personal and Indoor Mobile Radio Conference	A1
PKAW	Pacific Rim Knowledge Acquisition Workshop	B4
PKC	International Conference on Theory and Practice of Public-Key Cryptography	A2
PKDD	European Conference on Principles and Practice of Knowledge Discovery in Databases	A2
PLC	International Conference on Programming Languages and Compilers	B4
PLDI	ACM SIGPLAN conference on Programming Language Design and Implementation	A1
PLoP	Pattern Languages of Programs Conference	B3
PODC	ACM Symposium on Principles of Distributed Computing	A1
PODS	ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems	A1
PoEM	The IFIP WG8.1 Working Conference on the Practice of Enterprise Modeling	B4
POLICY	IEEE International Workshop on Policies for Distributed Systems and Networks	A2
POPL	ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages	A1
PPDP	International ACM SIGPLAN Symposium on Principles and Practice of Declarative Programming	B1
PPoPP	Principles and Practice of Parallel Programming	A2
PPSC	SIAM Conference on Parallel Processing for Scientific Computing	B4
PPSN	Parallel Problem Solving From Nature	A2
PPSWR	Principles and Practice of Semantic Web Reasoning	B2
PQCrypto	International Workshop on Post-Quantum Cryptography	B3
PRDC	IEEE Pacific Rim International Symposium on Dependable Computing	B1
PRIS	International Workshop on Pattern Recognition in Information Systems	B3
PRO-VE	IFIP Working Conference on Virtual Enterprises	B3
PROFES	International Conference on Product Focused Software Process Improvement	B1
ProMAS	International Workshop on Programming Multi-Agent Systems	B3
PROPOR	International Conference on Computational Processing of Portuguese	B3
PSB	Pacific Symposium on Biocomputing	A1
PSC	International Conference on Pervasive Systems and Computing	B4
PSIVT	Pacific-Rim Symposium on Image and Video Technology	B3
PST	Conference on Privacy, Security and Trust	B2
PWC	IFIP International Conference on Personal Wireless Communications	B1
QEST	International Conference on Quantitative Evaluation of Systems	B1
QoSA	International ACM Sigsoft Conference on the Quality of Software Architectures	B5
QSHINE	International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks	B2
QSIC	International Quality Software Conference	B1
Qsine	International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks	B2
QUATIC	International Conference on the Quality of Information and Communications Technology	B4
RADECS	Conference on RADIATION EFFECTS on COMPONENTS and SYSTEMS	B3
RAID	International Symposium on Recent Advances in Intrusion Detection	A2
RANDOM	International Workshop on Randomization and Computation	B1
RANLP	Recent Advances in Natural Language Processing	B2
RAW	Reconfigurable Architectures Workshop	B3
RCIS	International Conference on Research Challenges in Information Science	B4
RE	IEEE International Requirements Engineering Conference	A1
RECOMB	Annual International Conference on Research in Computational Molecular Biology	A2
RECONFIG	International Conference on Reconfigurable Computing and FPGAs	B4
ReCoSoC	International Workshop on Reconfigurable Communication-centric Systems-on-Chip	B4
RecSys	ACM Recommender Systems Conference	B1
REET	Requirements Engineering Education and Training	B5
REFSQ	Working Conference on Requirements Engineering: Foundation for Software Quality	B3
RFID-TA	RFID-Technologies and Applications	B4
RIDE	International Workshop on Research Issues in Data Engineering	B1
RO-MAN	IEEE International Symposium on Robot and Human Interactive Communication	B1
ROBIO	IEEE International Conference on Robotics and Biomimetics	B1
ROBOCOMM	IEEE International Conference on Robot Communication and Coordination	B4
RR	International Conference on Web Reasoning and Rule Systems	B3
RRS	Rational, Robust and Secure Negotiation Mechanisms in Multi-Agent Systems	B4
RSA	RSA Conference	B1
RSP	International Workshop on Rapid System Prototyping	B2
RSS	Robotics: Science and Systems Conference	A2
RST	Reliable Software Technologies	B2
RST_A	Workshop A RST e os Estudos do Texto	B5
RTA	International Conference on Rewriting Techniques and Applications	B1
RTAS	IEEE Real-Time and Embedded Technology and Applications Symposium	A2
RTCOMP	International Conference on Real-Time Computing Systems and Applications	B1
RTCSA	International Conference on Real-Time and Embedded Computing Systems and Applications	B1
RTSS	Real Time Systems Symposium	A1
RuleApps	East European Workshop on Rule-Based Applications	B5
RULEML	International Conference on Rules and Rule Markup Languages for the Semantic Web	B1
S&P	IEEE Symposium on Security and Privacy S&P)	A1
SAB	International Conference on Simulation of Adaptive Behavior	B2
SAC	ACM Symposium on Applied Computing	A1
SACI	International Symposium on Applied Computational Inteligence and Informatics	B4
SACMAT	ACM Symposium on Access Control Models and Technologies	A1
SAC_A	Selected Areas in Cryptography	B2
SAFECOMP	International Conference on Computer Safety: Reliability and Security	B1
SAFEProcess	IFAC Symposioum on Fault Detection Supervision and Safety of Technical Processes	B3
SAICSIT	Conference of the South African Institute of Computer Scientists and Information Technologists	B3
SAINT	International Symposium on Applications and the Internet	B1
SAM	International Conference on Security and Management	B3
SAME	Semantic Ambient Media Experiences	B5
SAMOS	International Conference on Embedded Computer Systems: Architectures, Modeling, and Simulation	B2
SAMT	Semantics and Digital Media Technologies	B3
Sandbox	ACM SIGGRAPH Sandbox Symposium on Videogames	B3
SAPIR	International Workshop on Service Assurance with Partial and Intermittent Resources	B4
SARNOFF	IEEE Sarnoff Symposium	B3
SAS	International Static Analysis Symposium	A2
SASO	IEEE International Conference on Self-Adaptive and Self-Organizing Systems	B3
SASP	Symposium on Application Specific Processors	B4
SAST	Brazilian Workshop on Systematic and Automated Software Testing	B5
SAT	International Conference on Theory and Applications of Satisfiability Testing	B1
SAVCBS	Workshop on Specification and Verification of Component-Based Systems	B4
SBAC-PAD	International Symposium on Computer Architecture and High Performance	B2
SBAI	Simpósio Brasileiro de Automação Inteligente	B4
SBCARS	Simpósio Brasileiro de Componentes, Arquiteturas e Reutilização de Software	B4
SBCCI	Symposium on Integrated Circuits and Systems Design	B1
SBCM	Simpósio Brasileiro de Computação Musical	B4
SBCUP	Simpósio Brasileiro de Computação Ubíqua e Pervasiva	B5
SBES	Simpósio Brasileiro de Engenharia de Software	B2
SBESC	Simpósio Brasileiro de Engenharia de Sistemas Computacionais	B4
SBGames	Simpósio Brasileiro de Jogos e Entretenimento Digital	B4
SBIA	Brazilian Symposium on Artificial Inteligence	B2
SBIE	Simpósio Brasileiro de Informática na Educação	B2
SBLP	Simpósio Brasileiro de Linguagens de Programação	B3
SBM	Eurographics Workshop on Sketch-Based Interfaces and Modeling	B3
SBMF	Simpósio Brasileiro de Métodos Formais	B4
SBPO	Simpósio Brasileiro de Pesquisa Operacional	B4
SBQS	Simpósio Brasileiro de Qualidade de Software	B3
SBRC	Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos	B2
SBRN	Simpósio Brasileiro de Redes Neurais	B3
SBRT	Simpósio Brasileiro de Telecomunicações	B4
SBSC	Simpósio Brasileiro de Sistemas Colaborativos	B4
SBSE	Simpósio Brasileiro de Sistemas Elétricos	B5
SBSEG	Simpósio de Segurança da Informação e Sistemas Computacionais	B4
SBSI	Simpósio Brasileiro de Sistemas de Informação	B4
SC	ACM/IEEE Conference on High Performance Networking and Computing	A1
SCA	ACM SIGGRAPH / Eurographics Symposium on Computer Animation	A2
SCAM	IEEE International Workshop on Source Code Analysis and Manipulation	B3
SCAN	GAMM / IMACS International Symposion on Scientific Computing Computer Arithmetic and Validated Numerics	B4
SCC	IEEE International Conference on Services Computing	B1
SCCC	International Conference of the Chilean Computer Science Society	B3
SCCI	IEEE Symp. Series on Computational Inteligence	B5
SCN	International Conference on Security in Communication Networks	B2
SCOPES	International Workshop on Software and Compilers for Embedded Systems	B2
SCSC	Summer Computer Simulation Conference	B3
SCW	IEEE Workshop on Speech Coding	B2
SC_A	International Symposium on Software Composition	B2
SDKB	International Workshops on Semantics in Data and Knowledge Bases	B4
SDM	SIAM International Conference on Data Mining	A2
SEA	Symposium on Experimental Algorithms	B1
SEAA	Euromicro Conference on Software Engineering and Advanced Applications	B1
SEAL	International Conference on Simulated Evolution and Learning	B3
SEAMS	International Symposium on Software engineering for adaptive and self-managing systems	B3
SEAS	Workshop on Software Engineering for Agent-Oriented Systems	B4
SEA_A	Software Engineering and Applications	B4
SEBIZ	Applications and Business Aspects of the Semantic Web	B5
SEC	IFIP International Information Security Conference	B1
SECIII	Social, Ethical and Cognitive Issues on Informatics and ICT	B5
SECON	IEEE Conference on Sensor Mesh and Ad Hoc Communications and Networks	B1
SECPERU	International Workshop on Security, Privacy and Trust in Pervasive and Ubiquitous Computing	B4
SECRYPT	International Conference on Information Security and Cryptology	B4
SECURECOMM	Security and Privacy in Communication Networks	B1
SECURITY	Usenix Security Symposium	A1
SECURWARE	International Conference on Emerging Security Information, Systems, and Technologies	B3
SEDE	Software Engineering and Data Engineering	B4
SEFM	IEEE International Conference on Software Engineering and Formal Methods	B1
SEKE	International Conference on Software Engineering and Knowledge Engineering	B1
SELMAS	International Workshop on Software Engineering for Large-Scale Multi- Agent Systems	B3
SEMAPRO	International Conference on Advances in Semantic Processing	B4
SemDial	Workshop on the Semantics and Pragmatics of Dialogue	B5
SemEval	International Workshop on Semantic Evaluations	B4
SEMISH	Seminário Integrado de Software e Hardware	B4
SemWiki	Semantic Wiki Workshop	B3
SENSYS	ACM Conference on Embedded Networked Sensor Systems	A1
SERA	ACIS International Conference on Software Engineering Research, Management and Applications	B3
SERP	International Conference on Software Engineering Research & Practice	B2
SERVICES	IEEE Congress on Services	B2
ServiceWave	ServiceWave	B4
SESS	Software Engineering for Secure Systems	B4
SEW	Annual Software Engineering Workshop	B2
SForum	Microelectronics Students Forum	B5
SGP	Eurographics Symposium on Geometry Processing	B4
SIBGRAPI	Conference on Graphics, Patterns and Images	B1
SIES	International Symposium on Industrial Embedded Systems	B3
SIGCOMM	ACM Special Interest Group on Data Communications Conference	A1
SIGCSE	ACM Technical Symposium on Computer Science Education	A2
SIGdial	Workshop on Discourse and Dialogue	B2
SIGDOC	ACM International Conference on Design of Communication	B1
SIGIR	Annual International ACM SIGIR Conference on Research & Development in Information Retrieval	A1
SIGITE	Information Technology Education	B3
SIGMETRICS	ACM Conference on Measurement and Modeling of Computing Systems	A1
SIGMOD	ACM SIGMOD International Conference on Management of Data Conference	A1
SIGSEM	ACL Workshop on Prepositions	B4
SIIE	Simpósio Internacional de Informática Educativa	B4
SIIT	International Conference on Standardization and Innovation in Information Technology	B4
SIN	International Conference on Security of Information and Networks	B4
SInT	IEEE International Symposium on Information Theory	A1
SIPS	IEEE Workshop on Signal Processing Systems Design and Implementation	B3
SIROCCO	Coloquium on Structural Information and Communication Complexity	B2
SITE	Society for Information Technology and Teacher Education Conference	B4
SLE	International Conference on Software Language Engineering	B5
SLS	Engineering Stochastic Local Search Algorithms	B4
SLT	IEEE Spoken Language Technology Workshop	B2
SMAP	International Workshop on Semantic and Social Media Adaptation and Personalization	B4
SMC	IEEE International Conference on Systems Man and Cybernetics	B2
SMC_A	Sound and Music Computing Conference	B2
SMI	IEEE International Conference on Shape Modeling and Applications	A2
SOAS	Self-Organization and Autonomous Systems in Computing and Communications	B4
SOC	International Symposium on System-on-Chip	B4
SOCASE	International Workshop on Service-Oriented Computing: Agents, Semantics, and Engineering	B4
SOCC	IEEE International SOC Conference	B2
SoCG	Annual ACM Symposium on Computational Geometry	A2
SocialCom	International Conference on Social Computing and its Applications	B4
SOCINFO	International Workshop on Social Informatics	B4
SOCO	International Conference on Soft Computing Models in Industrial and Environmental Applications	B4
SODA	ACM-SIAM Symposium on Discrete Algorithms	A1
SOFSEM	Conference on Current Trends in Theory and Practice of Computer Science	B1
SOFTCOMM	International Conference on Software Telecommunications and Computer Networks	B4
Softvis	Software Visualization	B1
SoICT	Symposium on Information and Communication Technology	B5
SoMeT	Software Methodologies, Tools and Techniques	B4
SOSE	International Symposium on Service-Oriented System Engineering	B2
SOSP	ACM Symposium on Operating Systems Principles	A1
SOUPS	Symposium On Usable Privacy and Security	B1
SPAA	ACM Symposium on Parallel Algorithms and Architectures	A2
SPECTS	International Symposium on Performance Evaluation of Computer and Telecommunication Systems	B4
SPICE	International Software Process Improvement and Capability Determination Conference	B4
SPIRE	Symposium on String Processing and Information Retrieval	B1
SPL	Southern Conference on Programmable Logic	B4
SPLC	Software Product Line Conference	A2
SPW	International Workshop on Security Protocols	B4
SQC	Software and Systems Quality Conferences	B5
SQM	International Conference on Software Quality Management	B4
SRDS	IEEE International Symposium on Reliable Distributed Systems	A2
SREIS	Symposium on Requirements Engineering for Information Security	B4
SRUTI	Steps to Reducing Unwanted Traffic on the Internet Workshop	B4
SSBSE	International Symposium on Search Based Software Engineering	B4
SSC	IFAC Conference on System Structure and Control	B4
SSDBM	International Conference on Scientific and Statistical Database Management	A2
SSI	Symposium on System and Information Security	B4
SSIRI	Secure System Integration and Reliability Improvement	B4
SSIRI-C	IEEE International Conference on Secure Software Integration and Reliability Improvement Companion	B4
SSPR	International Workshop on Structural and Syntactic Pattern Recognition	B1
SSR	ACM SIGSOFT Working Conference on Software Reusability	B4
SSRR	IEEE International Workshop on Safety, Security, & Rescue Robots	B4
SSST	Workshop on Syntax, Semantics and Structure in Statistical Translation	B5
SSTD	International Symposium on Spatial and Temporal Databases	B1
STACS	International Symposium on Theoretical Aspects of Computer Science	A2
STAIRS	Starting Artificial Inteligence Research Symposium	B4
STEP	IEEE International Workshop on Software Technology and Engineering Practice	B3
STFSSD	Software Technologies for Future Dependable Distributed Systems	B4
STIL	Brazilian Symposium in Information and Human Language Technology	B4
STOC	ACM Symposium on Theory of Computing	A1
Storage	IEEE Symposium on Mass Storage Systems	B1
SugarLoafPlop	Latin American Conference on Pattern Languages of Programming	B5
SUPER	ACM/IEEE Supercomputing Conference	A1
SVR	Symposium on Virtual and Augmented Reality	B4
SWAP	Workshop on Semantic Web Applications and Perspectives	B3
SWAT	Scandinavian Symposium and Workshops on Algorithm Theory	B1
SWEL	Workshop on Ontologies and Social Semantic Web for Inteligent Educational Systems	B4
SWWS	Semantic Web and Web Services	A2
SYROCO	International IFAC Symposium on Robot Control	B3
T4E	International Workshop on Technology for Education	B5
TABLEAUX	International Conference on Theorem Proving with Analytic Tableaux and Related Methods	B1
TAC	Text Analysis Conference	B2
TACAS	International Conference on Tools and Algorithms for the Construction and Analysis of Systems	A1
